epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
59,25157.5,1.41221,0.31805,0.17792,0.52347,0.37783,0.37099,0.19487,0.95519,0.44246,0.10478,0.00808389,0.00808389,0.00808389
60,25582.3,1.40681,0.31832,0.17579,0.53546,0.3756,0.37064,0.19628,0.97961,0.44006,0.10789,0.00802208,0.00802208,0.00802208
61,26008.7,1.40282,0.32515,0.17456,0.52759,0.38347,0.37948,0.20897,0.92747,0.46022,0.10028,0.00795954,0.00795954,0.00795954
62,26433.9,1.42247,0.31566,0.18019,0.52675,0.36687,0.36208,0.1853,1.0128,0.42641,0.10971,0.00789628,0.00789628,0.00789628
63,26858.2,1.39628,0.32649,0.1776,0.52015,0.39278,0.38641,0.20783,0.9216,0.46627,0.09912,0.00783231,0.00783231,0.00783231
64,27282.7,1.39671,0.3246,0.17173,0.52247,0.38399,0.37623,0.19724,0.95473,0.44419,0.10226,0.00776766,0.00776766,0.00776766
65,27706.4,1.41984,0.3148,0.18235,0.51978,0.37932,0.37062,0.20013,0.95358,0.445,0.10655,0.00770234,0.00770234,0.00770234
66,28131,1.42708,0.3157,0.17875,0.51785,0.37591,0.36961,0.19646,0.9598,0.44347,0.10597,0.00763637,0.00763637,0.00763637
67,28557.4,1.39935,0.32184,0.175,0.53285,0.37599,0.36843,0.20009,0.97345,0.43716,0.10742,0.00756976,0.00756976,0.00756976
68,28984.2,1.42628,0.31873,0.18524,0.52085,0.3904,0.37962,0.20401,0.9479,0.44779,0.10289,0.00750252,0.00750252,0.00750252
69,29410.3,1.4186,0.31649,0.17784,0.51142,0.38233,0.37307,0.18549,0.96853,0.45668,0.1056,0.00743468,0.00743468,0.00743468
70,29835.3,1.37559,0.32948,0.16609,0.5249,0.39204,0.38418,0.20252,0.94229,0.45085,0.10101,0.00736625,0.00736625,0.00736625
71,30261.3,1.35446,0.33623,0.16371,0.5214,0.39634,0.38721,0.20739,0.93069,0.45287,0.10166,0.00729725,0.00729725,0.00729725
72,30686.8,1.37251,0.33057,0.16798,0.52534,0.39067,0.38095,0.19886,0.9448,0.45433,0.10301,0.0072277,0.0072277,0.0072277
73,397.912,1.36212,0.33522,0.16626,0.53163,0.39824,0.38837,0.20837,0.92827,0.44815,0.09984,0.00715761,0.00715761,0.00715761
74,805.224,1.37508,0.32688,0.1676,0.53438,0.39292,0.38529,0.21154,0.93233,0.44713,0.10116,0.007087,0.007087,0.007087
75,1214.48,1.37962,0.33018,0.17317,0.5284,0.39635,0.38927,0.2124,0.91802,0.45732,0.10025,0.00701588,0.00701588,0.00701588
76,1623.43,1.39856,0.32625,0.1698,0.52847,0.40027,0.39079,0.21407,0.90658,0.46869,0.09682,0.00694428,0.00694428,0.00694428
77,2030.77,1.40325,0.32343,0.17491,0.51737,0.38752,0.37936,0.20101,0.93904,0.45849,0.10233,0.00687222,0.00687222,0.00687222
78,2438.54,1.353,0.33768,0.16427,0.52241,0.38903,0.38561,0.20568,0.91594,0.46453,0.09989,0.0067997,0.0067997,0.0067997
79,2847.06,1.40473,0.32096,0.18112,0.52078,0.37944,0.37066,0.19761,0.97417,0.43777,0.1055,0.00672675,0.00672675,0.00672675
80,3254.53,1.3785,0.33384,0.17456,0.52276,0.38295,0.37559,0.19959,0.96976,0.45035,0.10671,0.00665339,0.00665339,0.00665339
81,3662.51,1.36051,0.3407,0.16913,0.53224,0.39411,0.38956,0.21155,0.9292,0.45938,0.10173,0.00657963,0.00657963,0.00657963
82,4070.79,1.32626,0.34967,0.15979,0.52068,0.39028,0.38592,0.2074,0.92923,0.46392,0.09943,0.0065055,0.0065055,0.0065055
