epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,10114.6,1.13819,0.64654,0.89145,0.58933,0.43478,0.4572,0.27107,1.31364,0.77961,0.91626,0.00280275,0.00280275,0.00280275
132,10189.5,1.13614,0.64377,0.89052,0.59095,0.43406,0.45701,0.27099,1.31383,0.7799,0.91636,0.00273375,0.00273375,0.00273375
133,10263.8,1.13922,0.64542,0.89143,0.58778,0.43496,0.45628,0.27065,1.31425,0.78058,0.91651,0.00266532,0.00266532,0.00266532
134,10337.5,1.13649,0.64069,0.88879,0.58781,0.43359,0.45636,0.27077,1.31441,0.78051,0.91654,0.00259748,0.00259748,0.00259748
135,10410.6,1.1324,0.64165,0.89082,0.59105,0.43317,0.45613,0.2708,1.3144,0.78018,0.91661,0.00253024,0.00253024,0.00253024
136,10484.2,1.13005,0.63809,0.88844,0.59007,0.43338,0.45626,0.27096,1.31414,0.78013,0.91665,0.00246363,0.00246363,0.00246363
137,10557.4,1.12768,0.63747,0.88917,0.59351,0.43223,0.45595,0.2706,1.31397,0.7806,0.91666,0.00239766,0.00239766,0.00239766
138,10630.9,1.13634,0.64024,0.88898,0.59467,0.4327,0.4558,0.27052,1.31431,0.78129,0.9168,0.00233234,0.00233234,0.00233234
139,10704.3,1.12263,0.63244,0.88808,0.59092,0.43401,0.4552,0.27023,1.31457,0.7821,0.91689,0.00226769,0.00226769,0.00226769
140,10777.5,1.12001,0.62967,0.88733,0.58946,0.4357,0.45513,0.27018,1.31482,0.78301,0.917,0.00220372,0.00220372,0.00220372
141,10850.6,1.11835,0.63135,0.88826,0.58921,0.43542,0.45497,0.26997,1.31503,0.78324,0.91704,0.00214046,0.00214046,0.00214046
142,10924.3,1.12441,0.63424,0.8891,0.58985,0.43582,0.4551,0.2699,1.31528,0.7834,0.91714,0.00207792,0.00207792,0.00207792
143,10997.8,1.11842,0.6285,0.88703,0.59004,0.43606,0.45528,0.26983,1.31526,0.78362,0.91709,0.00201611,0.00201611,0.00201611
144,11071.5,1.11895,0.62928,0.88601,0.59029,0.43627,0.45507,0.26979,1.31544,0.78392,0.9171,0.00195505,0.00195505,0.00195505
145,11145.3,1.11434,0.62606,0.88685,0.59338,0.43495,0.45511,0.26987,1.3154,0.78415,0.91714,0.00189475,0.00189475,0.00189475
146,11219.1,1.11644,0.62964,0.88521,0.59401,0.43378,0.45488,0.26965,1.31536,0.78434,0.9172,0.00183523,0.00183523,0.00183523
147,11292.2,1.11896,0.6314,0.88597,0.59162,0.43394,0.4546,0.26953,1.31519,0.78406,0.91717,0.00177651,0.00177651,0.00177651
148,11366,1.11462,0.62402,0.88633,0.58927,0.43518,0.45462,0.26951,1.3153,0.78429,0.9172,0.00171859,0.00171859,0.00171859
149,11439.5,1.11252,0.62457,0.8848,0.58991,0.43495,0.45476,0.26953,1.31543,0.78465,0.91729,0.00166149,0.00166149,0.00166149
150,11513,1.11114,0.62213,0.88512,0.59313,0.43423,0.45454,0.26935,1.31523,0.78505,0.91736,0.00160523,0.00160523,0.00160523
151,11586.3,1.10925,0.62201,0.88443,0.59386,0.43467,0.45486,0.26948,1.31542,0.78516,0.91737,0.00154982,0.00154982,0.00154982
152,11659.4,1.11,0.62231,0.88597,0.59147,0.43535,0.45474,0.26935,1.31566,0.78575,0.91743,0.00149527,0.00149527,0.00149527
153,11732.6,1.11367,0.62206,0.88628,0.591,0.4349,0.45465,0.26943,1.31578,0.78574,0.91748,0.00144161,0.00144161,0.00144161
154,11806.3,1.11209,0.6222,0.88649,0.59117,0.43471,0.45471,0.26941,1.316,0.78583,0.91756,0.00138883,0.00138883,0.00138883
155,11879.8,1.10843,0.62067,0.88335,0.59082,0.43515,0.45492,0.26957,1.31596,0.78629,0.91749,0.00133695,0.00133695,0.00133695
156,11953.2,1.1061,0.61642,0.88448,0.59034,0.43521,0.45457,0.26937,1.3162,0.78628,0.91758,0.00128599,0.00128599,0.00128599
157,12026.8,1.10718,0.6205,0.88557,0.58895,0.43528,0.45468,0.26938,1.31632,0.7864,0.91759,0.00123596,0.00123596,0.00123596
158,12099.8,1.10729,0.61882,0.88491,0.591,0.43439,0.45443,0.26936,1.31623,0.78652,0.9176,0.00118687,0.00118687,0.00118687
159,12173.1,1.1048,0.61741,0.88394,0.59192,0.4346,0.45464,0.26935,1.31639,0.78671,0.91762,0.00113873,0.00113873,0.00113873
160,12246.5,1.10066,0.61343,0.88242,0.59297,0.4336,0.45448,0.26935,1.31653,0.78691,0.91763,0.00109156,0.00109156,0.00109156
161,12319.4,1.10064,0.61304,0.88359,0.59162,0.43431,0.45437,0.26932,1.31644,0.78689,0.91763,0.00104537,0.00104537,0.00104537
162,12393.3,1.105,0.61818,0.8842,0.59175,0.43373,0.45432,0.26926,1.31652,0.78688,0.91768,0.00100016,0.00100016,0.00100016
163,12466.7,1.0978,0.61141,0.88224,0.59291,0.43261,0.45408,0.26908,1.31661,0.78743,0.91771,0.000955951,0.000955951,0.000955951
164,12540.4,1.10149,0.61314,0.88324,0.59359,0.43299,0.45401,0.26892,1.31728,0.78783,0.91781,0.000912754,0.000912754,0.000912754
165,12614,1.09725,0.61126,0.88296,0.59538,0.43181,0.45383,0.26884,1.31708,0.78794,0.91779,0.000870577,0.000870577,0.000870577
166,12687.6,1.10016,0.61174,0.8824,0.59821,0.43089,0.45394,0.26888,1.3172,0.78809,0.91783,0.000829431,0.000829431,0.000829431
167,12761,1.09936,0.61131,0.88287,0.59872,0.43024,0.4537,0.26861,1.31736,0.7884,0.91791,0.000789327,0.000789327,0.000789327
168,12835.1,1.09924,0.61029,0.88295,0.59736,0.43069,0.45359,0.26879,1.31739,0.78858,0.91796,0.000750274,0.000750274,0.000750274
169,12908.6,1.09124,0.60548,0.88189,0.59814,0.42993,0.45354,0.26868,1.31746,0.78873,0.91801,0.000712282,0.000712282,0.000712282
170,12982.1,1.09261,0.60815,0.88074,0.59882,0.42956,0.45353,0.26882,1.31766,0.78903,0.91811,0.00067536,0.00067536,0.00067536
171,13055.5,1.09326,0.6072,0.88126,0.59892,0.42948,0.45345,0.26864,1.31787,0.78923,0.91814,0.000639518,0.000639518,0.000639518
172,13129,1.09597,0.60794,0.88079,0.59824,0.42974,0.45341,0.26859,1.3179,0.78941,0.91818,0.000604763,0.000604763,0.000604763
173,13202.6,1.09745,0.60939,0.88079,0.59807,0.42994,0.45327,0.26851,1.31794,0.78972,0.91822,0.000571106,0.000571106,0.000571106
174,13276.3,1.08265,0.59855,0.87905,0.59779,0.4296,0.45311,0.26856,1.31807,0.79,0.91824,0.000538554,0.000538554,0.000538554
175,13349.8,1.08995,0.60533,0.88223,0.59769,0.42951,0.45308,0.26859,1.31837,0.79,0.91831,0.000507115,0.000507115,0.000507115
176,13423.1,1.08271,0.59989,0.8791,0.59876,0.42933,0.45288,0.26855,1.31833,0.7902,0.91837,0.000476796,0.000476796,0.000476796
177,13496.1,1.08299,0.59868,0.8783,0.59734,0.42984,0.45276,0.26839,1.31872,0.79038,0.91842,0.000447606,0.000447606,0.000447606
178,13569.8,1.08994,0.60213,0.87979,0.59633,0.43047,0.45274,0.26843,1.31884,0.79054,0.91852,0.000419552,0.000419552,0.000419552
179,13643.2,1.09108,0.60297,0.88073,0.59606,0.43066,0.45251,0.26831,1.31882,0.79088,0.91855,0.00039264,0.00039264,0.00039264
180,13716.6,1.08661,0.59957,0.88239,0.5966,0.43015,0.45227,0.26814,1.31912,0.79118,0.91866,0.000366877,0.000366877,0.000366877
181,13790.1,1.09058,0.60277,0.8792,0.59637,0.42993,0.45204,0.26804,1.31935,0.79152,0.91876,0.00034227,0.00034227,0.00034227
182,13864.1,1.09712,0.60569,0.88138,0.59553,0.43031,0.45187,0.26806,1.31938,0.79171,0.9188,0.000318825,0.000318825,0.000318825
